code,description
91,RETAIL-FOOD HALLS
92,RETAIL-GROCERY STORES
93,RETAIL-INDUSTRIAL SUPPLY
94,SPECIAL-ASSM./MEET/RELIGIOUS FACILITY
95,SPECIAL-CASINO
96,SPECIAL-DATA CENTERS
97,SPECIAL-DAY CARE FACILITY  ALL TYPES
98,SPECIAL-GOLF COURSE COUNTRY CLUB
99,SPECIAL-GOLF COURSE PUBLIC PLAY
100,"SPECIAL-INDOOR AG, GREEN HOUSE"
101,"SPECIAL-INDOOR AG, GROW FACILITY  PRODUC"
102,"SPECIAL-INDOOR AG, GROW FACILITY  CANNAB"
103,SPECIAL-NURSING HOME
104,SPECIAL-MUNICIPAL/GOVERNMENT BUILDINGS
105,SPECIAL-PARKING GARAGE
106,SPECIAL-SURFACE PARKING
107,"SPECIAL-SPORTS/ENT, MOVIE THEATER"
108,"SPECIAL-SPORTS/ENT, PERFORMANCE VENUES"
109,SPECIAL-SPORT FACILITIES/FITNESS CENTERS
110,"SPECIAL-SPORTS/ENT, STADIUMS/ARENAS"
111,SPECIAL-BOAT SLIPS/MARINA
112,SPECIAL-SELF STORAGE
113,SPECIAL-EXPIRED LEASEHOLD/TOKEN VALUE
