display_name,code,description
"Median Income, Household in Past Year",acs5_median_income_household_past_year,"Median income per household in the past 12 months, from ACS 5-year estimate."
"Median Income, Per Capita in Past Year",acs5_median_income_per_capita_past_year,"Median income per capita in the past 12 months, from ACS 5-year estimate."
"Percent Population Income, Received SNAP in Past Year",acs5_percent_income_household_received_snap_past_year,"Percent of households that received SNAP in the past 12 months, from ACS 5-year estimate."
"Percent Population Employment, Unemployed",acs5_percent_employment_unemployed,"Percent of people 16 years and older unemployed, from ACS 5-year estimate."
"Median Occupied Household, Total, Year Built",acs5_median_household_total_occupied_year_built,"Median year built for all occupied households, from ACS 5-year estimate."
"Median Occupied Household, Renter, Gross Rent",acs5_median_household_renter_occupied_gross_rent,"Median gross rent for only renter-occupied units, from ACS 5-year estimate."
"Percent Occupied Households, Owner",acs5_percent_household_owner_occupied,"Percent of households that are owner-occupied, from ACS 5-year estimate."
Year Built,char_yrblt,Year the property was constructed
Central Air Conditioning,char_air,Indicator for central air
Apartments,char_apts,Number of apartments for class 211 and 212 properties
Attic Finish,char_attic_fnsh,Attic finish
Attic Type,char_attic_type,Attic type
Bedrooms,char_beds,Number of bedrooms in the building
Building Square Feet,char_bldg_sf,"Square footage of the building, as measured from the exterior"
Basement Type,char_bsmt,Basement type
Basement Finish,char_bsmt_fin,Basement finish
Property Class,char_class,Card-level property type and/or use
Exterior Wall Material,char_ext_wall,Exterior wall construction
Full Baths,char_fbath,Number of full bathrooms
Fireplaces,char_frpl,Number of fireplaces
Garage 1 Attached,char_gar1_att,Indicator for garage attached
Garage 1 Ext. Wall Material,char_gar1_cnst,Garage exterior wall construction
Garage 1 Size,char_gar1_size,Garage size (number of cars)
Half Baths,char_hbath,Number of half baths
Land Square Feet,char_land_sf,Square footage of the land of the property
Central Heating,char_heat,Interior heating type
Number of Commercial Units,char_ncu,Number of commercial units
Porch,char_porch,Porch type
Roof Material,char_roof_cnst,Roof material / construction
Rooms,char_rooms,Number of total rooms in the building (excluding baths)
Cathedral Ceiling,char_tp_dsgn,Deprecated
Type of Residence,char_type_resd,Type of residence
Recent Renovation,char_recent_renovation,Indicates whether or not a property was renovated within the last 3 years
Longitude,loc_longitude,X coordinate in degrees (global longitude)
Latitude,loc_latitude,Y coordinate in degrees (global latitude)
Census Tract GEOID,loc_census_tract_geoid,11-digit ACS/Census tract GEOID
First Street Factor,loc_env_flood_fs_factor,"First Street flood factor The flood factor is a risk score, where 10 is the highest risk and 1 is the lowest risk"
School Elementary District GEOID,loc_school_elementary_district_geoid,School district (elementary) GEOID
School Secondary District GEOID,loc_school_secondary_district_geoid,School district (secondary) GEOID
CMAP Walkability Score (No Transit),loc_access_cmap_walk_nta_score,"CMAP walkability score for a given PIN, excluding transit walkability"
CMAP Walkability Total Score,loc_access_cmap_walk_total_score,"CMAP walkability score for a given PIN, including transit walkability"
Municipality Name,loc_tax_municipality_name,"Municipality, from the property tax district names on this property's Cook County property tax bills"
Township Code,meta_township_code,Cook County township code
Neighborhood Code,meta_nbhd_code,Assessor neighborhood code
Number of sales within previous N years of sale/lien date,meta_sale_count_past_n_years,"Number of transactions of this property, within previous N years of sale/lien date"
Property Tax Bill Aggregate Rate,other_tax_bill_rate,"Property tax rate, from this property's Cook County property tax bills"
Standard Deviation Distance From Parcel Centroid to Vertices (Feet),shp_parcel_centroid_dist_ft_sd,Standard deviation of the distance from each major parcel vertex to the parcel centroid
Standard Deviation Parcel Edge Length (Feet),shp_parcel_edge_len_ft_sd,Standard deviation of the edge length between parcel vertices
Standard Deviation Parcel Interior Angle (Degrees),shp_parcel_interior_angle_sd,Standard deviation of the interior angles of the parcel polygon
Ratio of Parcel Area to Minimum Rotated Bounding Rectangle,shp_parcel_mrr_area_ratio,Ratio of the parcel�s area to the area of its minimum rotated bounding rectangle
Ratio of Parcel Minimum Rotated Bounding Rectangle Longest to Shortest Side,shp_parcel_mrr_side_ratio,Ratio of the longest to the shortest side of the parcel�s minimum rotated bounding rectangle
Number of Parcel Vertices,shp_parcel_num_vertices,The number of vertices of the parcel
Number of PINs in Half Mile,prox_num_pin_in_half_mile,Number of PINs within half mile
Number of Bus Stops in Half Mile,prox_num_bus_stop_in_half_mile,Number of bus stops within half mile
Number of Foreclosures Per 1000 PINs (Past 5 Years),prox_num_foreclosure_per_1000_pin_past_5_years,"Number of foreclosures per 1000 PINs, within half mile (past 5 years)"
Number of Schools in Half Mile,prox_num_school_in_half_mile,Number of schools (any kind) within a half mile
Number of Schools with Rating in Half Mile,prox_num_school_with_rating_in_half_mile,Number of schools (any kind) with a rating within a half mile
Average School Rating in Half Mile,prox_avg_school_rating_in_half_mile,Average school rating of schools within half mile
Total Airport Noise DNL,prox_airport_dnl_total,Estimated average noise level for this PIN. Assumes a baseline of 50 (�quiet suburban�) then adds predicted noise from O�Hare and Midway airports to that baseline
Nearest Bike Trail Distance (Feet),prox_nearest_bike_trail_dist_ft,Nearest bike trail distance (feet)
Nearest Cemetery Distance (Feet),prox_nearest_cemetery_dist_ft,Nearest cemetery distance (feet)
Nearest CTA Route Distance (Feet),prox_nearest_cta_route_dist_ft,Nearest CTA route distance (feet)
Nearest CTA Stop Distance (Feet),prox_nearest_cta_stop_dist_ft,Nearest CTA stop distance (feet)
Nearest Hospital Distance (Feet),prox_nearest_hospital_dist_ft,Nearest hospital distance (feet)
Nearest Major Road Distance (Feet),prox_nearest_major_road_dist_f,Nearest major road distance (feet)
Nearest Secondary Road Distance (Feet),nearest_secondary_road_dist_ft,Nearest secondary road distance (feet)
Lake Michigan Distance (Feet),prox_lake_michigan_dist_ft,Distance to Lake Michigan shoreline (feet)
Nearest Metra Route Distance (Feet),prox_nearest_metra_route_dist_ft,Nearest Metra route distance (feet)
Nearest Metra Stop Distance (Feet),prox_nearest_metra_stop_dist_ft,Nearest Metra stop distance (feet)
Nearest Park Distance (Feet),prox_nearest_park_dist_ft,Nearest park distance (feet)
Nearest Railroad Distance (Feet),prox_nearest_railroad_dist_ft,Nearest railroad distance (feet)
Nearest University Distance (Feet),prox_nearest_university_dist_ft,Nearest university distance (feet)
Nearest Vacant Land Parcel Distance (Feet),prox_nearest_vacant_land_dist_ft,Nearest vacant land (class 100) parcel distance (feet)
Nearest Water Distance (Feet),prox_nearest_water_dist_ft,Nearest water distance (feet)
Nearest Golf Course Distance (Feet),prox_nearest_golf_course_dist_ft,Nearest golf course distance (feet)
Nearest Highway Distance (Feet),prox_nearest_road_highway_dist_ft,Distance to nearest highway road
Nearest Arterial Road Distance (Feet),prox_nearest_road_arterial_dist_ft,Distance to nearest arterial road
Nearest Collector Road Distance (Feet),prox_nearest_road_collector_dist_ft,Distance to nearest collector road
Average Daily Traffic Count on Nearest Arterial Road,prox_nearest_road_arterial_daily_traffic,Daily traffic of nearest arterial road
Average Daily Traffic Count on Nearest Collector Road,prox_nearest_road_collector_daily_traffic,Daily traffic of nearest collector road
Nearest New Construction (Feet),prox_nearest_new_construction_dist_ft,Nearest new construction distance (feet)
Nearest Major Stadium (Feet),prox_nearest_stadium_dist_ft,Nearest stadium distance (feet)
Sale Year,time_sale_year,Sale year calculated as the number of years since 0 B.C.E
Sale Day,time_sale_day,"Sale day calculated as the number of days since January 1st, 1997"
Sale Quarter of Year,time_sale_quarter_of_year,Character encoding of quarter of year (Q1 - Q4)
Sale Month of Year,time_sale_month_of_year,Character encoding of month of year (Jan - Dec)
Sale Day of Year,time_sale_day_of_year,Numeric encoding of day of year (1 - 365)
Sale Day of Month,time_sale_day_of_month,Numeric encoding of day of month (1 - 31)
Sale Day of Week,time_sale_day_of_week,Numeric encoding of day of week (1 - 7)
Sale After COVID-19,time_sale_post_covid,"Indicator for whether sale occurred after COVID-19 was widely publicized (around March 15, 2020)"
"Percent Population Mobility, In Same House 1 Year Ago",acs5_percent_mobility_no_move,"Percent of people (older than 1 year) who have not moved in the past 12 months, from ACS 5-year estimate."
"Percent Population Mobility, Moved From Other State in Past Year",acs5_percent_mobility_moved_from_other_state,"Percent of people (older than 1 year) who moved from another state in the past 12 months, from ACS 5-year estimate."
"Percent Occupied Households, Owner",acs5_percent_household_total_occupied_w_sel_cond,"Percent of households that are owner-occupied, from ACS 5-year estimate."
"Percent Population Mobility, Moved From Within Same County in Past Year",acs5_percent_mobility_moved_in_county,"Percent of people (older than 1 year) who moved in county in the past 12 months, from ACS 5-year estimate."
School District (Elementary) GreatSchools Rating,other_school_district_elementary_avg_rating,Average GreatSchools rating of elementary schools within the district of a given PIN
School District (Secondary) GreatSchools Rating,other_school_district_secondary_avg_rating,Average GreatSchools rating of secondary schools within the district of a given PIN
Active Homeowner Exemption,ccao_is_active_exe_homeowner,Parcel has an active homeowner exemption
Number of Years Active Homeowner Exemption,ccao_n_years_exe_homeowner,Number of years parcel has had an active homeowner exemption
Corner Lot,ccao_is_corner_lot,Corner lot indicator
